,timestamp,location,price,timestamp_full,FullName,cc_flag,loyal_flag,CarID,CurrentEmploymentType,CurrentEmploymentTitle,hour,time
0,2014-01-06,Brew've Been Served,11.34,2014-01-06 07:28:00,Edvard Vann,1.0,1.0,34.0,Security,Perimeter Control,7.0,Morning
1,2014-01-06,Hippokampos,13.26,2014-01-06 13:23:00,Edvard Vann,1.0,1.0,34.0,Security,Perimeter Control,13.0,Afternoon
2,2014-01-07,Brew've Been Served,7.09,2014-01-07 07:33:00,Edvard Vann,1.0,0.0,34.0,Security,Perimeter Control,7.0,Morning
3,2014-01-07,Kalami Kafenion,18.06,2014-01-07 13:33:00,Edvard Vann,1.0,1.0,34.0,Security,Perimeter Control,13.0,Afternoon
4,2014-01-07,Guy's Gyros,26.82,2014-01-07 20:10:00,Edvard Vann,1.0,0.0,34.0,Security,Perimeter Control,20.0,Night
5,2014-01-08,Brew've Been Served,32.3,2014-01-08 08:00:00,Edvard Vann,1.0,0.0,34.0,Security,Perimeter Control,8.0,Morning
6,2014-01-08,Hippokampos,9.03,2014-01-08 13:15:00,Edvard Vann,1.0,1.0,34.0,Security,Perimeter Control,13.0,Afternoon
7,2014-01-09,Brew've Been Served,5.13,2014-01-09 07:48:00,Edvard Vann,1.0,1.0,34.0,Security,Perimeter Control,7.0,Morning
8,2014-01-09,Gelatogalore,23.45,2014-01-09 13:21:00,Edvard Vann,1.0,1.0,34.0,Security,Perimeter Control,13.0,Afternoon
9,2014-01-09,General Grocer,285.34,2014-01-09 20:19:00,Edvard Vann,1.0,1.0,34.0,Security,Perimeter Control,20.0,Night
10,2014-01-10,Brew've Been Served,97.25,2014-01-10 07:56:00,Edvard Vann,1.0,0.0,34.0,Security,Perimeter Control,7.0,Morning
11,2014-01-10,Hippokampos,79.26,2014-01-10 13:20:00,Edvard Vann,1.0,0.0,34.0,Security,Perimeter Control,13.0,Afternoon
12,2014-01-10,Octavio's Office Supplies,139.72,2014-01-10 14:41:00,Edvard Vann,1.0,1.0,34.0,Security,Perimeter Control,14.0,Afternoon
13,2014-01-10,Guy's Gyros,27.78,2014-01-10 19:54:00,Edvard Vann,1.0,1.0,34.0,Security,Perimeter Control,19.0,Evening
14,2014-01-11,Ahaggo Museum,89.32,2014-01-11 16:24:00,Edvard Vann,1.0,1.0,34.0,Security,Perimeter Control,16.0,Evening
15,2014-01-11,Hippokampos,63.21,2014-01-11 19:29:00,Edvard Vann,1.0,1.0,34.0,Security,Perimeter Control,19.0,Evening
16,2014-01-13,Brew've Been Served,18.71,2014-01-13 07:43:00,Edvard Vann,1.0,1.0,34.0,Security,Perimeter Control,7.0,Morning
17,2014-01-13,Ouzeri Elian,95.03,2014-01-13 13:37:00,Edvard Vann,1.0,0.0,34.0,Security,Perimeter Control,13.0,Afternoon
18,2014-01-13,Guy's Gyros,20.47,2014-01-13 20:11:00,Edvard Vann,1.0,1.0,34.0,Security,Perimeter Control,20.0,Night
19,2014-01-14,Brew've Been Served,4.72,2014-01-14 07:31:00,Edvard Vann,1.0,1.0,34.0,Security,Perimeter Control,7.0,Morning
20,2014-01-14,Katerinas Café,29.1,2014-01-14 13:34:00,Edvard Vann,1.0,1.0,34.0,Security,Perimeter Control,13.0,Afternoon
21,2014-01-14,Guy's Gyros,23.59,2014-01-14 20:01:00,Edvard Vann,1.0,1.0,34.0,Security,Perimeter Control,20.0,Night
22,2014-01-15,Brew've Been Served,4.92,2014-01-15 07:57:00,Edvard Vann,1.0,1.0,34.0,Security,Perimeter Control,7.0,Morning
23,2014-01-16,Brew've Been Served,4.7,2014-01-16 07:53:00,Edvard Vann,1.0,1.0,34.0,Security,Perimeter Control,7.0,Morning
24,2014-01-16,Abila Zacharo,69.27,2014-01-16 13:39:00,Edvard Vann,1.0,0.0,34.0,Security,Perimeter Control,13.0,Afternoon
25,2014-01-16,Guy's Gyros,37.8,2014-01-16 19:40:00,Edvard Vann,1.0,1.0,34.0,Security,Perimeter Control,19.0,Evening
26,2014-01-17,Brew've Been Served,19.39,2014-01-17 07:59:00,Edvard Vann,1.0,1.0,34.0,Security,Perimeter Control,7.0,Morning
27,2014-01-17,Hippokampos,14.57,2014-01-17 13:27:00,Edvard Vann,1.0,1.0,34.0,Security,Perimeter Control,13.0,Afternoon
28,2014-01-17,Guy's Gyros,35.1,2014-01-17 19:53:00,Edvard Vann,1.0,1.0,34.0,Security,Perimeter Control,19.0,Evening
29,2014-01-18,Abila Zacharo,21.29,2014-01-18 19:36:00,Edvard Vann,1.0,1.0,34.0,Security,Perimeter Control,19.0,Evening
30,2014-01-19,Katerinas Café,70.22,2014-01-19 13:23:00,Edvard Vann,1.0,1.0,34.0,Security,Perimeter Control,13.0,Afternoon
31,2014-01-19,Frydos Autosupply n' More,209.76,2014-01-19 15:53:00,Edvard Vann,1.0,1.0,34.0,Security,Perimeter Control,15.0,Afternoon
32,2014-01-08,Brew've Been Served,12.3,,Edvard Vann,0.0,1.0,34.0,Security,Perimeter Control,,
33,2014-01-10,Brew've Been Served,17.25,,Edvard Vann,0.0,1.0,34.0,Security,Perimeter Control,,
34,2014-01-10,Hippokampos,39.26,,Edvard Vann,0.0,1.0,34.0,Security,Perimeter Control,,
35,2014-01-13,Ouzeri Elian,35.03,,Edvard Vann,0.0,1.0,34.0,Security,Perimeter Control,,
36,2014-01-15,General Grocer,137.65,,Edvard Vann,0.0,1.0,34.0,Security,Perimeter Control,,
37,2014-01-15,Guy's Gyros,19.8,,Edvard Vann,0.0,1.0,34.0,Security,Perimeter Control,,
38,2014-01-06,Hallowed Grounds,52.22,2014-01-06 07:34:00,Hideki Cocinaro,1.0,0.0,12.0,Security,Site Control,7.0,Morning
39,2014-01-06,Abila Zacharo,78.11,2014-01-06 14:05:00,Hideki Cocinaro,1.0,0.0,12.0,Security,Site Control,14.0,Afternoon
40,2014-01-06,Guy's Gyros,95.29,2014-01-06 20:28:00,Hideki Cocinaro,1.0,0.0,12.0,Security,Site Control,20.0,Night
41,2014-01-07,Hallowed Grounds,18.97,2014-01-07 07:48:00,Hideki Cocinaro,1.0,1.0,12.0,Security,Site Control,7.0,Morning
42,2014-01-07,Kalami Kafenion,22.14,2014-01-07 13:46:00,Hideki Cocinaro,1.0,1.0,12.0,Security,Site Control,13.0,Afternoon
43,2014-01-08,Hallowed Grounds,12.19,2014-01-08 07:39:00,Hideki Cocinaro,1.0,0.0,12.0,Security,Site Control,7.0,Morning
44,2014-01-08,Katerinas Café,22.94,2014-01-08 14:06:00,Hideki Cocinaro,1.0,0.0,12.0,Security,Site Control,14.0,Afternoon
45,2014-01-08,General Grocer,265.84,2014-01-08 21:00:00,Hideki Cocinaro,1.0,1.0,12.0,Security,Site Control,21.0,Night
46,2014-01-09,Hallowed Grounds,56.77,2014-01-09 07:42:00,Hideki Cocinaro,1.0,0.0,12.0,Security,Site Control,7.0,Morning
47,2014-01-09,Ouzeri Elian,32.89,2014-01-09 14:04:00,Hideki Cocinaro,1.0,1.0,12.0,Security,Site Control,14.0,Afternoon
48,2014-01-10,Hallowed Grounds,10.76,2014-01-10 07:50:00,Hideki Cocinaro,1.0,1.0,12.0,Security,Site Control,7.0,Morning
49,2014-01-10,Katerinas Café,77.62,2014-01-10 14:08:00,Hideki Cocinaro,1.0,0.0,12.0,Security,Site Control,14.0,Afternoon
50,2014-01-10,Guy's Gyros,35.54,2014-01-10 20:20:00,Hideki Cocinaro,1.0,0.0,12.0,Security,Site Control,20.0,Night
51,2014-01-11,Kalami Kafenion,39.36,2014-01-11 14:16:00,Hideki Cocinaro,1.0,1.0,12.0,Security,Site Control,14.0,Afternoon
52,2014-01-11,Kalami Kafenion,46.78,2014-01-11 20:30:00,Hideki Cocinaro,1.0,0.0,12.0,Security,Site Control,20.0,Night
53,2014-01-12,Guy's Gyros,42.32,2014-01-12 19:26:00,Hideki Cocinaro,1.0,1.0,12.0,Security,Site Control,19.0,Evening
54,2014-01-13,Hallowed Grounds,19.18,2014-01-13 07:54:00,Hideki Cocinaro,1.0,1.0,12.0,Security,Site Control,7.0,Morning
55,2014-01-13,Guy's Gyros,37.5,2014-01-13 20:59:00,Hideki Cocinaro,1.0,1.0,12.0,Security,Site Control,20.0,Night
56,2014-01-14,Hallowed Grounds,13.0,2014-01-14 07:45:00,Hideki Cocinaro,1.0,1.0,12.0,Security,Site Control,7.0,Morning
57,2014-01-14,Ouzeri Elian,62.3,2014-01-14 13:51:00,Hideki Cocinaro,1.0,0.0,12.0,Security,Site Control,13.0,Afternoon
58,2014-01-14,Guy's Gyros,94.26,2014-01-14 19:59:00,Hideki Cocinaro,1.0,0.0,12.0,Security,Site Control,19.0,Evening
59,2014-01-15,Hallowed Grounds,12.17,2014-01-15 07:44:00,Hideki Cocinaro,1.0,1.0,12.0,Security,Site Control,7.0,Morning
60,2014-01-15,Ouzeri Elian,22.86,2014-01-15 13:42:00,Hideki Cocinaro,1.0,1.0,12.0,Security,Site Control,13.0,Afternoon
61,2014-01-16,Kronos Mart,298.83,2014-01-16 07:30:00,Hideki Cocinaro,1.0,0.0,12.0,Security,Site Control,7.0,Morning
62,2014-01-16,Hallowed Grounds,18.2,2014-01-16 07:44:00,Hideki Cocinaro,1.0,1.0,12.0,Security,Site Control,7.0,Morning
